year,dist_id,dno_key,dno_name,dno_code,filename,sheet,row_index,tariff_code,rates_found,values_found,raw_text,voltage,customer_type,time_band
2024,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 3 Preserved charges,1,LV and,[],"['1', '2024']",National Grid Electricity Distribution (West Midlands) plc - Effective from 1 April 2024 - Final LV and HV tariffs,LV,,
2024,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,3,EHV charges,[],"['1', '2024']",National Grid Electricity Distribution (West Midlands) plc - Effective from 1 April 2024 - Final new designated EHV charges,HV,,
2024,14,NGED-WM,National Grid Electricity Distribution – West Midlands,WMID,MIDE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,16,EHV line,[],"['1', '2024']",National Grid Electricity Distribution (West Midlands) plc - Effective from 1 April 2024 - Final new designated EHV line loss factors,HV,,
2024,15,NPg-NE,Northern Powergrid (North East),NE,Northern Powergrid (Northeast) - 2024-25 CDCM Model v0.1.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2024,17,SSE-SHEPD,Scottish Hydro Electric Power Distribution,SHEPD,shepd_cdcm_v11_20241025_26-27_final.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2024,18,SP-Distribution,SP Energy Networks (SPD),SPD,SPD 2024_25 CDCM_v9_20221027_published.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2024,20,SSE-SEPD,Southern Electric Power Distribution,SEPD,sepd_cdcm_v11_20241025_26-27_final.xlsx,Unit costs,4,EHV EHV,[],"['132', '132', '132']",Click here to return to model map Units Constants Transmission exit GSPs 132kV 132kV/EHV EHV EHV/HV 132kV/HV HV HV/LV LV circuits LV customers HV customers Legal text reference,LV,,
2024,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,"Annex 1 LV, HV and UMS charges",1,LV and,[],"['1', '2024']",National Grid Electricity Distribution (South Wales) plc - Effective from 1 April 2024 - Final LV and HV charges,LV,,
2024,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 3 Preserved charges,1,LV and,[],"['1', '2024']",National Grid Electricity Distribution (South Wales) plc - Effective from 1 April 2024 - Final LV and HV tariffs,LV,,
2024,21,NGED-SWales,National Grid Electricity Distribution – South Wales,SWALES,SWAE-Schedule of charges and other tables-2024 V.0.1 for publishing.xlsx,Annex 6 New or Amended EHV,3,EHV charges,[],"['1', '2024']",National Grid Electricity Distribution (South Wales) plc - Effective from 1 April 2024 - Final new designated EHV charges,HV,,
