id;licencearea;gridsupplypoint;substation;sitefunctionallocation;fault_level_operational_restrictions
31;South Eastern Power Networks (SPN);Bolney;Worthing Town 11kV;SPN-S000000008354;2-Way Bar Split
44;South Eastern Power Networks (SPN);Kemsley;Minster 6.6kV;SPN-S000000008436;2-Way Bar Split
49;South Eastern Power Networks (SPN);Kingsnorth;Rainham Mark 11kV;SPN-S000000008525;2-Way Bar Split
52;South Eastern Power Networks (SPN);Laleham;Twickenham 11kV;SPN-S000000008352;2-Way Bar Split
70;Eastern Power Networks (EPN);Bramford;EPN 0238;;UKPN received customer enquiry to disconnect site, no further FL action required
76;Eastern Power Networks (EPN);Eaton Socon;Little Barford 33kV;EPN-S0000000D4055;2-way bar split
80;Eastern Power Networks (EPN);Norwich;Trowse Grid 132kV;EPN-S0000000C5084;2-Way Bar Split
16;South Eastern Power Networks (SPN);Beddington;Selhurst 6.6kV;SPN-S000000008652;2-Way Bar Split
20;South Eastern Power Networks (SPN);Bolney;Brighton Local 33kV;SPN-S000000009907;Controlled Access
29;South Eastern Power Networks (SPN);Bolney;Southwick 11kV;SPN-S000000008490;2-Way Bar Split
35;South Eastern Power Networks (SPN);Canterbury;Maidstone Grid South 11kV;SPN-S000000009533;HV Interconnection open between [Maidstone Grid South 11kV] - [Maidstone Grid North 11kV]
42;South Eastern Power Networks (SPN);Chessington;Kingston 11kV;SPN-S000000008325;2-Way Bar Split
45;South Eastern Power Networks (SPN);Kemsley;Sittingbourne Grid 33kV;SPN-S000000009144;GT3 on hot stand-by
71;Eastern Power Networks (EPN);Brimsdown;Brimsdown Grid 132kV;EPN-S0000000C7084;SGT4 on hot standby
84;Eastern Power Networks (EPN);Sundon;Chaul End Primary 11kV;EPN-S0000000H8072;2-Way Bar Split
9;South Eastern Power Networks (SPN);Beddington;Addington Local 11kV;SPN-S000000008301;2-Way Bar Split
17;South Eastern Power Networks (SPN);Beddington;Spurgeons Bridge 6.6kV;SPN-S000000008372;2-Way Bar Split
21;South Eastern Power Networks (SPN);Bolney;Brighton Town 11kV;SPN-S000000008307;2-Way Bar Split
27;South Eastern Power Networks (SPN);Bolney;Moulsecoomb Grid 33kV;SPN-S000000009934;Controlled Access
