id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
2614;Eastern Power Networks (EPN);Bramford;;EPN 0146;BXSF31;LANG3A;DNO-UKPN;lne_BXSF_BXSF_1;33;2.48;3.79;0.31;403;445;3.600
2620;Eastern Power Networks (EPN);Bramford;;EPN 0252;PFGH31;PFGH3B;DNO-UKPN;PFGH_FORN_1;33;0.12;0.1;0.01;456;527;0.100
2621;Eastern Power Networks (EPN);Bramford;;EPN 0270;ISFM3A;ISFM31;EPN 0270;ISFM_PFGH_1;33;0.19;0.27;0.03;604;670;0.292
2622;Eastern Power Networks (EPN);Bramford;;EPN 0270;ISFM3B;ISFM31;EPN 0270;THET_ISFM_2;33;0.16;0.24;0.03;604;670;0.260
2624;Eastern Power Networks (EPN);Bramford;EPN-S0000000H1043;Eye Primary 33kV;EYPR31;MEND3A;DNO-UKPN;EYPR_COTT_1_(1);33;25.05;33.01;0.04;237;296;9.742
2639;Eastern Power Networks (EPN);Bramford;EPN-S0000000H1045;Fore Hamlet Primary 33kV;FORE31;CLQU30;Cliff Quay Grid 33kV;ROUNT_CLQU_2;33;1.03;1.9;0.4;515;599;2.251
2644;Eastern Power Networks (EPN);Bramford;;Framlingham Primary 33kV;FRAM31;DEBE31;Debenham Primary 33kV;FRAM_DEBE_1;33;13.63;31.96;0.04;371;463;10.029
2654;Eastern Power Networks (EPN);Bramford;EPN-S0000000C5053;Halesworth Grid 132kV;HALE11;RUMB1A;Rumburgh 132kV;RUMB_HALE_2;132;0.54;1.19;0.27;382;476;5.316
2670;Eastern Power Networks (EPN);Bramford;;Icklingham Primary 33kV;ICKL31;MHDC3B;DNO-UKPN;ICKL_MHDC_2;33;3.35;7.86;0.02;408;508;2.705
2676;Eastern Power Networks (EPN);Bramford;EPN-S0000000D5089;Ilketshall Grid 33kV;ILKE3A;ILKE31;Ilketshall Grid 33kV;lne_ILKE_GT1;33;0.01;0.02;0.01;686;806;0.050
