date;units_entering_sf;units_entering_r1;units_entering_r2;units_entering_r3;units_entering_rf;units_entering_regulatory_reporting;units_exiting_sf;units_exiting_r1;units_exiting_r2;units_exiting_r3;units_exiting_rf;units_exiting_regulatory_reporting;loss_sf;loss_r1;loss_r2;loss_r3;loss_rf;loss_regulatory_reporting;loss_sf0;loss_r10;loss_r20;loss_r30;loss_rf0;loss_regulatory_reporting0;dno
2022-04;1487.2198736172002;1487.2653266172001;1488.3709756171997;1488.4601086172001;1488.8757694171998;1488.4601086172001;1439.1524445784873;1422.2673815784876;1402.3280601106833;1395.0746872002926;1387.461478872612;1395.0746872002926;48.06742903871282;64.99794503871249;86.04291550651647;93.38542141690755;101.41429054458786;93.38542141690755;3.3399817524398023;4.570022900094583;6.135719447824873;6.693937053959326;7.309340986316427;6.693937053959326;SPN
2022-07;1389.3346442695997;1390.6257052695998;1390.7660472696;1391.0414806696;1391.0666723695995;1391.0414806696;1320.9587516877998;1322.6021424246921;1313.4395075924708;1305.849929088581;1299.268935863019;1305.849929088581;68.37589258179992;68.0235628449077;77.32653967712918;85.19155158101921;91.79773650658058;85.19155158101921;5.1762322248469514;5.1431613984990125;5.887331638049202;6.523839354226464;7.06533758891152;6.523839354226464;SPN
2023-03;1710.9011910352006;1715.1702629352;1724.4153216352001;1714.2307158352003;0.0;1709.0804150351996;1630.7067787208787;1607.4065026766598;1594.8157547766602;1593.0743310991438;0.0;1630.105047720879;80.19441231432188;107.76376025854029;129.5995668585399;121.15638473605645;0.0;78.97536731432069;4.9177702184586565;6.704200840241198;8.126303397140013;7.605193453369149;0.0;4.844802328827802;SPN
2022-09;1932.9179066;1932.9173255999997;1933.5746033999997;1933.7818324000002;1934.0226891000002;1933.7818324000002;1866.8834535739259;1852.5788970642354;1839.5420530278477;1833.1113641201928;1834.364338499588;1833.1113641201928;66.03445302607406;80.33842853576425;94.03255037215195;100.67046827980744;99.65835060041218;100.67046827980744;3.5371491937356327;4.336572583390419;5.111736924816497;5.491781364201215;5.432854777471709;5.491781364201215;LPN
2022-06;2347.6951121591005;2347.8657401591;2347.6754075591;2347.3953465591003;2349.8727597591005;2347.3953465591003;2216.1452014749307;2221.5182902787237;2213.9896046467843;2205.980370532073;2200.2557091239146;2205.980370532073;131.54991068416984;126.34744988037619;133.68580291231592;141.41497602702748;149.61705063518593;141.41497602702748;5.935978860799295;5.687436850430971;6.038230831424518;6.410527397073746;6.79998465699969;6.410527397073746;EPN
2022-11;2124.8621553000003;2125.7454158000005;2125.9939950999997;2126.8850061000003;0.0;2125.9939950999997;2054.696976620992;2031.0501893209944;2015.7448806114244;2003.9652320997388;0.0;2015.7448806114244;70.16517867900848;94.69522647900612;110.24911448857529;122.91977400026144;0.0;110.24911448857529;3.4148674708422035;4.6623774723491165;5.4693982134849355;6.133827674817844;0.0;5.4693982134849355;LPN
2022-05;1423.4128144560002;1423.510614456;1423.652418456;1423.4505204559998;1424.8457074560004;1423.4505204559998;1399.695234543861;1378.8197015438614;1372.485534876893;1362.9484189313557;1356.191416360156;1362.9484189313557;23.717579912139172;44.69091291213863;51.16688357910698;60.502101524644104;68.65429109584443;60.502101524644104;1.6944817219348727;3.241244149767973;3.7280453803614373;4.439060252337493;5.0622862132621185;4.439060252337493;SPN
2022-05;2495.0722184283995;2495.1320014284;2503.3455850284;2502.5469598284008;2505.5597703284;2502.5469598284008;2430.5834502634757;2393.5980182634758;2383.989689560239;2375.54764386044;2367.0114056247658;2375.54764386044;64.48876816492384;101.5339831649244;119.35589546816072;126.99931596796068;138.54836470363443;126.99931596796068;2.6532217257520307;4.24189786213919;5.006560892055604;5.346106877552556;5.853303637422271;5.346106877552556;EPN
2022-06;1920.6243339999999;1923.7826931000004;1923.7826930999997;1924.1040240000002;1924.2202677999999;1924.1040240000002;1834.9740202825494;1810.833506122525;1806.6985122864273;1801.854575511951;1797.4631146345985;1801.854575511951;85.65031371745044;112.94918697747539;117.0841808135724;122.24944848804921;126.7571531654014;122.24944848804921;4.66765811236183;6.237414240215246;6.480559983713005;6.784645672823799;7.052003022113171;6.784645672823799;LPN
2022-10;1470.8090714835998;1473.0639354835998;1473.5832432836;1474.2409245836;1473.3374993836003;1473.5832432836;1452.5223814191797;1424.9996748216481;1405.3156871216477;1395.1155613935055;1388.6510851343269;1405.3156871216477;18.2866900644201;48.06426066195172;68.26755616195237;79.1253631900945;84.68641424927341;68.26755616195237;1.2589609838956959;3.372931342455739;4.8578093013234085;5.671599212258837;6.098465997387784;4.8578093013234085;SPN
