dataset,column_name,api_dtype,sample_value
NETBSAD,sellPricePriceAdjustment,float64,0.0
NONBM,dataset,object,NONBM
NONBM,publishTime,object,2022-05-31T23:34:00Z
NONBM,startTime,object,2022-05-31T23:00:00Z
NONBM,settlementDate,object,2022-06-01
NONBM,settlementPeriod,int64,1
NONBM,generation,int64,0
NOU2T14D,dataset,object,NOU2T14D
NOU2T14D,publishTime,object,2025-09-22T13:00:00Z
NOU2T14D,systemZone,object,
NOU2T14D,forecastDate,object,2025-09-24
NOU2T14D,forecastDateTimezone,object,Europe/London
NOU2T14D,outputUsable,int64,41040
NOU2T3YW,dataset,object,NOU2T3YW
NOU2T3YW,publishTime,object,2025-09-22T13:00:00Z
NOU2T3YW,systemZone,object,
NOU2T3YW,calendarWeekNumber,int64,41
NOU2T3YW,year,int64,2025
NOU2T3YW,outputUsable,int64,50416
NTB,N/A,N/A,No data returned from API for sample period.
NTO,N/A,N/A,No data returned from API for sample period.
OCNMF3Y,dataset,object,OCNMF3Y
OCNMF3Y,publishTime,object,2025-09-22T13:20:00Z
OCNMF3Y,week,int64,41
OCNMF3Y,year,int64,2025
OCNMF3Y,surplus,int64,11407
OCNMF3Y2,dataset,object,OCNMF3Y2
OCNMF3Y2,publishTime,object,2025-09-22T13:00:00Z
OCNMF3Y2,week,int64,41
OCNMF3Y2,year,int64,2025
OCNMF3Y2,margin,int64,16689
OCNMFD,dataset,object,OCNMFD
OCNMFD,publishTime,object,2025-09-22T13:20:00Z
OCNMFD,forecastDate,object,2025-09-24
OCNMFD,surplus,int64,3944
OCNMFD2,dataset,object,OCNMFD2
OCNMFD2,publishTime,object,2025-09-22T13:00:00Z
OCNMFD2,forecastDate,object,2025-09-24
OCNMFD2,margin,int64,8069
PN,dataset,object,PN
PN,settlementDate,object,2022-06-01
PN,settlementPeriod,int64,3
PN,timeFrom,object,2022-06-01T00:00:00Z
PN,timeTo,object,2022-06-01T00:30:00Z
PN,levelFrom,int64,0
PN,levelTo,int64,0
PN,nationalGridBmUnit,object,IID-CAPT1
PN,bmUnit,object,
QAS,dataset,object,QAS
QAS,settlementDate,object,2022-06-01
QAS,settlementPeriod,int64,3
QAS,bmUnitApplicableBalancingServicesVolume,float64,0.024
QAS,nationalGridBmUnit,object,AFSE01
QAS,bmUnit,object,
QPN,dataset,object,QPN
QPN,settlementDate,object,2022-06-01
QPN,settlementPeriod,int64,3
QPN,timeFrom,object,2022-06-01T00:00:00Z
QPN,timeTo,object,2022-06-01T00:30:00Z
QPN,levelFrom,int64,0
QPN,levelTo,int64,0
QPN,nationalGridBmUnit,object,IMG-EGEN1
QPN,bmUnit,object,
RDRE,N/A,N/A,No data returned from API for sample period.
RDRI,N/A,N/A,No data returned from API for sample period.
RURE,dataset,object,RURE
RURE,settlementDate,object,2022-06-01
RURE,settlementPeriod,int64,2
RURE,time,object,2022-05-31T23:37:00Z
RURE,rate1,float64,15.0
RURE,elbow2,float64,106.0
RURE,rate2,float64,0.2
RURE,elbow3,float64,112.0
RURE,rate3,float64,10.2
RURE,nationalGridBmUnit,object,CNQPS-4
RURE,bmUnit,object,T_CNQPS-4
RURI,N/A,N/A,No data returned from API for sample period.
SEL,dataset,object,SEL
SEL,settlementDate,object,2022-06-01
SEL,settlementPeriod,int64,1
SEL,time,object,2022-05-31T23:14:00Z
SEL,level,int64,38
SEL,nationalGridBmUnit,object,AG-KLIM01
SEL,bmUnit,object,2__KANGE001
SIL,N/A,N/A,No data returned from API for sample period.
STOR,N/A,N/A,No data returned from API for sample period.
SURPLUS_MARGIN,N/A,N/A,No data returned from API for sample period.
TEMP,dataset,object,TEMP
TEMP,measurementDate,object,2025-09-21
TEMP,publishTime,object,2025-09-21T15:45:00Z
TEMP,temperature,float64,13.9
TSDF,dataset,object,TSDF
TSDF,demand,int64,204
TSDF,publishTime,object,2025-09-22T13:17:00Z
TSDF,startTime,object,2025-09-22T13:30:00Z
TSDF,settlementDate,object,2025-09-22
TSDF,settlementPeriod,int64,30
TSDF,boundary,object,B1
TSDFD,dataset,object,TSDFD
TSDFD,publishTime,object,2025-09-21T13:45:00Z
TSDFD,forecastDate,object,2025-09-23
TSDFD,demand,int64,33590
TSDFW,dataset,object,TSDFW
TSDFW,publishTime,object,2025-09-18T13:45:00Z
TSDFW,year,int64,2025
TSDFW,week,int64,40
TSDFW,demand,int64,33200
UOU2T14D,dataset,object,UOU2T14D
UOU2T14D,fuelType,object,BIOMASS
UOU2T14D,nationalGridBmUnit,object,DNBAR-1
UOU2T14D,bmUnit,object,2__NSMAE001
UOU2T14D,publishTime,object,2025-09-22T13:00:00Z
UOU2T14D,forecastDate,object,2025-09-24
UOU2T14D,outputUsable,int64,36
UOU2T3YW,dataset,object,UOU2T3YW
UOU2T3YW,fuelType,object,BIOMASS
UOU2T3YW,nationalGridBmUnit,object,DNBAR-1
UOU2T3YW,bmUnit,object,2__NSMAE001
UOU2T3YW,publishTime,object,2025-09-22T13:00:00Z
UOU2T3YW,week,int64,41
UOU2T3YW,year,int64,2025
UOU2T3YW,outputUsable,int64,36
WIND,N/A,N/A,No data returned from API for sample period.
WINDFOR,dataset,object,WINDFOR
WINDFOR,publishTime,object,2025-09-22T12:30:00Z
WINDFOR,startTime,object,2025-09-21T20:00:00Z
WINDFOR,generation,int64,10618
WIND_SOLAR_GEN,N/A,N/A,No data returned from API for sample period.
