bmUnit,total_actions,active_days,first_action,last_action,bid_actions,avg_bid_price,total_bid_mw,offer_actions,avg_offer_price,total_offer_mw,max_capacity_mw,avg_action_size_mw,discharge_revenue_gbp,charge_cost_gbp,estimated_revenue_gbp,is_vlp
T_TEBWB-1,64,2,2025-10-27,2025-10-28,12,73.77833333333334,176,24,64.21333333333334,510,39,10.718750000000002,15813.335,6545.055,9268.279999999999,True
T_COUWW-1,37,2,2024-12-18,2025-08-04,3,4.993333333333333,39,17,38.255714285714284,274,20,8.45945945945946,4430.319999999999,92.42,4337.899999999999,False
E_BURGH-1,51,5,2024-11-19,2025-01-19,16,322.72625,160,20,405.39250000000004,204,45,7.137254901960784,28476.28,24580.05,3896.2299999999996,True
T_LRDSC-1,1,1,2025-09-29,2025-09-29,0,,,0,,,0,0.0,0.0,0.0,0.0,True
E_GRCRB-1,2426,34,2025-09-25,2025-10-28,776,68.19871313672925,2097,654,82.48703470031545,1743,20,1.582852431986809,71272.09499999997,71383.57000000011,-111.47500000013679,False
E_CHICK-1,69,6,2024-11-18,2025-01-19,25,292.73879999999997,221,24,298.1804166666667,199,45,6.0869565217391335,23849.45,31052.53,-7203.079999999998,True
E_ARNKB-2,3694,113,2024-11-13,2025-08-22,1188,85.69509905254093,2047,1019,88.26182228915668,1734,10,1.0235517054683274,76185.88999999998,89242.39999999998,-13056.509999999995,True
E_NEWPB-1,1430,14,2025-10-07,2025-10-20,494,94.73663967611334,3097,371,108.23204851752018,2437,20,3.8699300699300707,134914.47499999992,149087.31000000008,-14172.835000000166,False
E_TOLLB-1,5199,175,2024-11-17,2025-10-28,1792,69.22483487450462,9720,1308,92.72313588850172,6858,49,3.1886901327178307,287791.7250000001,310712.60000000003,-22920.87499999994,False
T_PNYCB-1,44130,345,2024-11-10,2025-10-28,13069,82.34865056818182,22904,11869,82.81215781140044,22338,10,1.0251982778155453,908509.2300000001,931797.1050000004,-23287.87500000035,True
E_ABERDARE,415,37,2024-11-12,2025-09-19,160,119.25525000000002,1345,144,121.85854166666667,728,16,4.995180722891567,44129.24,76297.24,-32168.000000000007,True
E_OLDHB-1,27673,347,2024-11-10,2025-10-27,8727,80.39622799614176,18979,7761,82.9274625253207,17222,20,1.3081704188197876,704979.3250000001,741146.8525,-36167.52749999997,False
T_BREDB-1,1114,18,2025-09-16,2025-10-17,397,91.42386363636365,6094,302,94.75231788079472,4994,49,9.953321364452416,235934.335,277574.64,-41640.30500000002,True
E_NEWTB-1,5772,41,2025-09-18,2025-10-28,2051,68.93360728346465,13900,1312,78.21422360248445,11259,49,4.358801108801113,463274.415,510133.1199999993,-46858.70499999932,True
2__FBPGM001,67839,345,2024-11-13,2025-10-28,23080,80.24628093388733,232743,18383,90.77114789915967,197102,33,6.33625200843173,9003954.412499998,9060898.802499998,-56944.390000000596,True
E_POTES-1,26541,349,2024-11-10,2025-10-28,8170,89.4127411705978,22143,6644,95.29475502318395,19122,35,1.554764326890472,923508.4125,986465.7499999998,-62957.33749999979,True
E_SOLUTIA,510,40,2024-11-13,2025-10-08,185,115.59459459459464,1878,165,117.24418181818183,792,16,5.235294117647059,46914.060000000005,110492.43999999997,-63578.37999999997,True
E_BRIDGWTR,1303,88,2024-11-12,2025-10-08,558,105.89098566308246,2468,255,115.6050980392157,980,10,2.646201074443591,55414.70999999999,132419.76000000004,-77005.05000000005,True
E_BROFB-1,4860,41,2025-09-18,2025-10-28,1738,67.2526046511628,8817,1061,75.51940603700102,5922,49,3.0327160493827208,229292.98999999982,306909.115,-77616.12500000017,True
E_ROOSB-1,28077,341,2024-11-10,2025-10-27,8785,82.38774476347375,30126,7674,89.7373566792861,25743,40,1.9898493428785116,1074307.0399999996,1159368.9150000003,-85061.8750000007,False
E_CONTB-1,61182,352,2024-11-10,2025-10-28,20057,80.99032416605664,166185,17383,86.40039184111647,151257,34,5.188486809846033,6524991.054999997,6658267.222499997,-133276.16750000045,True
E_ROARB-1,49305,351,2024-11-10,2025-10-28,15569,92.02002451305154,232203,15051,89.91357005229837,238041,49,9.537450562823247,10319121.235,10470100.6775,-150979.44250000082,True
E_BHOLB-1,49332,349,2024-11-10,2025-10-28,15911,78.2557914890783,47040,13570,81.76274369066915,41383,7,1.7924065515284193,1657111.777500001,1811750.825000001,-154639.04749999987,True
T_RICHB-2,27750,342,2024-11-10,2025-10-28,9159,71.02214706221864,65136,7654,76.53695086098276,51756,49,4.212324324324326,1693439.4399999997,1904128.2400000005,-210688.80000000075,True
2__FBPGM002,56266,296,2024-11-13,2025-10-27,19085,83.39734346373531,264991,15554,92.80350558108994,229720,49,8.792361283901469,10753255.115,10996861.382499998,-243606.2674999982,True
T_RICHB-1,29346,337,2024-11-10,2025-10-28,9747,72.16842872628727,67848,8028,77.78118654230511,55579,49,4.205922442581614,1863030.8575000009,2116407.3550000014,-253376.49750000052,True
E_DBFRM-1,2172,204,2024-11-11,2025-10-25,803,98.61957658779575,12664,405,116.13324257425747,6380,17,8.767955801104971,375164.57,631763.6299999999,-256599.05999999988,True
E_RAKE-1,2058,206,2024-11-11,2025-10-25,754,105.38365384615385,11191,381,116.65800524934383,5643,18,8.179786200194366,335598.49500000005,593510.6200000002,-257912.12500000017,True
V__MCEND001,26587,152,2025-05-27,2025-10-27,9301,68.10729011928878,181059,7256,71.49587850603108,148219,49,12.384924963327945,5222048.795000001,5592812.714999993,-370763.9199999925,True
E_BROAB-1,53685,338,2024-11-10,2025-10-28,17884,78.46983164384372,70063,14195,83.71168855603926,54989,11,2.3293657446214016,2237133.435,2695488.687500001,-458355.2525000009,True
E_PILLB-2,63556,333,2024-11-10,2025-10-28,21901,79.52191027115066,296716,17368,87.24240542320125,248508,49,8.578639310214614,10989707.340000002,11570906.792500006,-581199.4525000043,True
T_NURSB-1,40173,330,2024-11-10,2025-10-28,13743,77.05372608296346,85733,10478,81.55783356741571,65588,49,3.7667338759863624,2587745.4875000007,3195668.957499999,-607923.4699999983,True
E_HAWKB-1,59207,346,2024-11-10,2025-10-27,19997,79.45076000631144,116480,15689,83.41150106766315,92338,20,3.5269140473254845,3826313.659999999,4616197.4274999965,-789883.7674999973,True
E_FARNB-1,58975,329,2024-11-10,2025-10-28,20054,80.49619845293472,121515,15698,85.7044821974226,93248,20,3.6415938957185237,4000727.0374999978,4843704.430000001,-842977.3925000029,True
E_PILLB-1,65359,334,2024-11-10,2025-10-27,22532,79.2272641772977,308068,17916,87.00871433542109,253963,49,8.59913707370064,11013034.229999999,11879492.287500005,-866458.0575000066,True
E_CLAYB-2,62985,340,2024-11-10,2025-10-27,21122,79.2894557300699,260901,17494,83.16432527090946,222946,49,7.6819401444788395,9251776.167500002,10165468.717499994,-913692.5499999914,True
E_SKELB-1,70574,345,2024-11-10,2025-10-27,24023,81.88832950258032,282194,19442,87.03063618449083,230265,49,7.2613001955394365,10001273.014999997,11315571.610000005,-1314298.5950000081,True
T_WISHB-1,41801,350,2024-11-10,2025-10-27,13824,89.74373085829538,227853,12024,88.84213439930855,198153,50,10.19128728977776,8601118.327500002,9971008.6675,-1369890.339999998,False
E_CHAPB-1,67798,350,2024-11-10,2025-10-27,23139,79.54842260553792,284464,18429,84.8629639379529,226611,49,7.5382017168647995,9765511.240000004,11237130.837499999,-1471619.5974999946,True
E_CLAYB-1,62668,347,2024-11-10,2025-10-27,21031,81.151496080683,265215,17373,84.43724792942025,222920,49,7.789222569732561,9339439.797499998,10864042.272499992,-1524602.474999994,True
E_ILMEB-1,71265,341,2024-11-10,2025-10-27,24328,80.89539799172557,320895,19556,85.74734142188167,253467,49,8.059524310671437,11044762.207499994,12875649.355,-1830887.1475000065,True
T_SUNDB-1,65903,309,2024-12-05,2025-10-28,23204,75.1891011623099,298301,18151,79.18857784780576,213577,49,7.7671426186971795,7564371.570000002,9739206.562500004,-2174834.9925000016,True
E_DOLLB-1,54608,319,2024-11-10,2025-10-28,19257,79.18953190676346,271671,14268,85.14863659680495,188532,99,8.427391590975681,7882826.402500003,10260776.1825,-2377949.7799999965,False
E_THMRB-1,75829,351,2024-11-10,2025-10-28,26089,79.88898343403625,360992,20730,83.7644664298579,283814,49,8.50342217357476,11930813.317499995,14357585.729999995,-2426772.4124999996,True
T_LARKB-1,66194,303,2024-12-19,2025-10-20,22534,78.15641971525554,362181,19007,79.64437703740539,267917,49,9.518959422304144,10219604.444999998,12988092.0025,-2768487.557500001,True
T_TYLNB-1,50269,197,2025-04-14,2025-10-27,18714,68.31868233820936,363465,13675,69.64567334011105,220036,57,11.607571266585765,7022587.812500001,11046745.642499996,-4024157.8299999954,True
T_LKSDB-1,54643,300,2024-12-10,2025-10-27,19389,82.57970075349841,499869,14844,89.76966659632835,339980,99,15.369745438574009,16250252.779999996,20656817.854999997,-4406565.075000001,False
T_SHBA-2,9877,208,2024-11-10,2025-10-27,3853,77.07355579284567,552790,1942,96.13733367983369,226727,557,78.92244608686848,10892920.124999998,20034510.005000006,-9141589.880000008,True
T_CARR-2,13120,200,2024-11-10,2025-10-27,5904,81.38350580875783,467033,2583,85.06802882742502,213288,454,51.85373475609757,8785649.785,18085834.0975,-9300184.3125,True
T_CARR-1,17480,261,2024-11-10,2025-10-27,8137,76.2838764890282,664142,3285,83.66302760736195,278019,455,53.899370709382154,11453158.279999996,25048054.2425,-13594895.962500004,True
T_SPLN-1,18446,269,2024-11-10,2025-10-24,5759,80.0522706051356,1153840,5385,89.97902819268114,650950,946,97.84180852217284,27973563.775000006,42009297.980000004,-14035734.204999998,False
T_LAGA-1,9600,193,2024-11-21,2025-10-27,2863,82.65726739926738,656422,2815,97.84236240171552,214065,854,90.67572916666667,10169592.465000002,24763633.429999996,-14594040.964999994,True
T_KEAD-2,19171,228,2024-11-10,2025-10-25,8177,62.201355687047965,1649908,3455,75.6692983490566,503851,854,112.34463512597145,19204512.080000002,46521890.14249998,-27317378.06249998,False
E_SHOS-1,29105,287,2024-11-10,2025-10-27,13670,73.50420366428465,1441217,4561,84.61233067729083,407935,456,63.53382580312658,17155113.822499998,50056199.237500004,-32901085.415000007,False
T_COSO-1,15756,172,2024-11-10,2025-10-22,7688,91.44809255826274,1080485,2250,96.04428891879769,198864,775,81.19757552678348,9501237.032499999,48366492.14250001,-38865255.110000014,False
T_ROCK-1,27346,279,2024-11-10,2025-10-23,14211,83.26362116793511,2195216,3444,89.43266019988243,386246,785,94.39998537263222,17448715.355,91393892.3525,-73945176.9975,False
