Year,DNO_Code,DNO_Name,Red_Rate_p_per_kWh,Amber_Rate_p_per_kWh,Green_Rate_p_per_kWh,Red_Time,Amber_Time,Green_Time,Source_Sheet,Tariff_Code
2025,Y,Northern Powergrid (Yorkshire),9.395,1.274,0.466,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 9
2025,SPD,SP Energy Networks (SPD),7.749,0.622,0.35,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,SPM,SP Energy Networks (SPM),8.949,1.876,1.001,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,SHEPD,Scottish Hydro Electric Power Distribution,8.141,2.281,1.631,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,SEPD,Southern Electric Power Distribution,10.672,1.538,0.971,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,EPN,UK Power Networks (Eastern),16.026,1.356,0.899,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,LPN,UK Power Networks (London),10.149,1.591,1.216,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2025,SPN,UK Power Networks (South Eastern),17.888,0.848,0.723,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,ENWL,Electricity North West,30.653,3.362,2.118,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,LV150
2026,EMID,National Grid Electricity Distribution – East Midlands,13.889,1.275,0.519,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,SWALES,National Grid Electricity Distribution – South Wales,16.557,0.816,0.477,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,SWEST,National Grid Electricity Distribution – South West,19.54,1.013,0.439,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,WMID,National Grid Electricity Distribution – West Midlands,16.358,1.252,0.719,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,NE,Northern Powergrid (North East),19.755,1.07,0.294,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 19
2026,Y,Northern Powergrid (Yorkshire),12.19,1.423,0.529,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 12
2026,SPD,SP Energy Networks (SPD),21.459,1.833,1.1,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 21
2026,SPM,SP Energy Networks (SPM),20.962,3.163,1.749,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Tariff summary,LV 20
2026,SHEPD,Scottish Hydro Electric Power Distribution,8.338,2.704,2.063,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,SEPD,Southern Electric Power Distribution,9.341,1.568,1.09,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,EPN,UK Power Networks (Eastern),17.451,1.478,0.895,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,LPN,UK Power Networks (London),20.312,1.297,0.215,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
2026,SPN,UK Power Networks (South Eastern),20.92,0.932,0.741,16:00-19:00 Weekdays,07:00-16:00 & 19:00-23:00 Weekdays,00:00-07:00 & 23:00-24:00 Weekdays; All Weekend,Annex 4 LDNO charges,HVplus
