dataset,column_name,api_dtype,sample_value
UOU2T14D,nationalGridBmUnit,object,DNBAR-1
UOU2T14D,bmUnit,object,2__NSMAE001
UOU2T14D,publishTime,object,2025-09-22T13:00:00Z
UOU2T14D,forecastDate,object,2025-09-24
UOU2T14D,outputUsable,int64,36
UOU2T3YW,dataset,object,UOU2T3YW
UOU2T3YW,fuelType,object,BIOMASS
UOU2T3YW,nationalGridBmUnit,object,DNBAR-1
UOU2T3YW,bmUnit,object,2__NSMAE001
UOU2T3YW,publishTime,object,2025-09-22T13:00:00Z
UOU2T3YW,week,int64,41
UOU2T3YW,year,int64,2025
UOU2T3YW,outputUsable,int64,36
WIND,N/A,N/A,No data returned from API for sample period.
WINDFOR,dataset,object,WINDFOR
WINDFOR,publishTime,object,2025-09-22T12:30:00Z
WINDFOR,startTime,object,2025-09-21T20:00:00Z
WINDFOR,generation,int64,10618
WIND_SOLAR_GEN,N/A,N/A,No data returned from API for sample period.
