dataset,column_name,2022,2023,2024,2025
NTB,settlementPeriod,NOT_PRESENT,int64,int64,NOT_PRESENT
NTB,time,NOT_PRESENT,object,object,NOT_PRESENT
NTO,bmUnit,NOT_PRESENT,object,object,NOT_PRESENT
NTO,dataset,NOT_PRESENT,object,object,NOT_PRESENT
NTO,nationalGridBmUnit,NOT_PRESENT,object,object,NOT_PRESENT
NTO,notice,NOT_PRESENT,int64,int64,NOT_PRESENT
NTO,settlementDate,NOT_PRESENT,object,object,NOT_PRESENT
NTO,settlementPeriod,NOT_PRESENT,int64,int64,NOT_PRESENT
NTO,time,NOT_PRESENT,object,object,NOT_PRESENT
OCNMF3Y,dataset,object,object,object,object
OCNMF3Y,publishTime,object,object,object,object
OCNMF3Y,surplus,int64,int64,int64,int64
OCNMF3Y,week,int64,int64,int64,int64
OCNMF3Y,year,int64,int64,int64,int64
OCNMF3Y2,dataset,object,object,object,object
OCNMF3Y2,margin,int64,int64,int64,int64
OCNMF3Y2,publishTime,object,object,object,object
OCNMF3Y2,week,int64,int64,int64,int64
OCNMF3Y2,year,int64,int64,int64,int64
OCNMFD,dataset,object,object,object,object
OCNMFD,forecastDate,object,object,object,object
OCNMFD,publishTime,object,object,object,object
OCNMFD,surplus,int64,int64,int64,int64
OCNMFD2,dataset,object,object,object,object
OCNMFD2,forecastDate,object,object,object,object
OCNMFD2,margin,int64,int64,int64,int64
OCNMFD2,publishTime,object,object,object,object
PN,bmUnit,object,object,object,object
PN,dataset,object,object,object,object
PN,levelFrom,int64,int64,int64,int64
PN,levelTo,int64,int64,int64,int64
PN,nationalGridBmUnit,object,object,object,object
PN,settlementDate,object,object,object,object
PN,settlementPeriod,int64,int64,int64,int64
PN,timeFrom,object,object,object,object
PN,timeTo,object,object,object,object
QAS,bmUnit,object,object,object,object
QAS,bmUnitApplicableBalancingServicesVolume,float64,float64,float64,float64
QAS,dataset,object,object,object,object
QAS,nationalGridBmUnit,object,object,object,object
QAS,settlementDate,object,object,object,object
QAS,settlementPeriod,int64,int64,int64,int64
QPN,bmUnit,object,object,object,object
QPN,dataset,object,object,object,object
QPN,levelFrom,int64,int64,int64,int64
QPN,levelTo,int64,int64,int64,int64
QPN,nationalGridBmUnit,object,object,object,object
QPN,settlementDate,object,object,object,object
QPN,settlementPeriod,int64,int64,int64,int64
QPN,timeFrom,object,object,object,object
QPN,timeTo,object,object,object,object
RDRE,bmUnit,NOT_PRESENT,object,NOT_PRESENT,NOT_PRESENT
RDRE,dataset,NOT_PRESENT,object,NOT_PRESENT,NOT_PRESENT
RDRE,elbow2,NOT_PRESENT,float64,NOT_PRESENT,NOT_PRESENT
RDRE,elbow3,NOT_PRESENT,float64,NOT_PRESENT,NOT_PRESENT
RDRE,nationalGridBmUnit,NOT_PRESENT,object,NOT_PRESENT,NOT_PRESENT
RDRE,rate1,NOT_PRESENT,float64,NOT_PRESENT,NOT_PRESENT
RDRE,rate2,NOT_PRESENT,float64,NOT_PRESENT,NOT_PRESENT
RDRE,rate3,NOT_PRESENT,float64,NOT_PRESENT,NOT_PRESENT
RDRE,settlementDate,NOT_PRESENT,object,NOT_PRESENT,NOT_PRESENT
RDRE,settlementPeriod,NOT_PRESENT,int64,NOT_PRESENT,NOT_PRESENT
RDRE,time,NOT_PRESENT,object,NOT_PRESENT,NOT_PRESENT
RURE,bmUnit,object,object,object,object
RURE,dataset,object,object,object,object
RURE,elbow2,float64,float64,float64,float64
RURE,elbow3,float64,float64,float64,float64
RURE,nationalGridBmUnit,object,object,object,object
RURE,rate1,float64,float64,float64,float64
RURE,rate2,float64,float64,float64,float64
RURE,rate3,float64,float64,float64,float64
RURE,settlementDate,object,object,object,object
RURE,settlementPeriod,int64,int64,int64,int64
RURE,time,object,object,object,object
SEL,bmUnit,object,object,object,object
SEL,dataset,object,object,object,object
SEL,level,int64,int64,int64,int64
SEL,nationalGridBmUnit,object,object,object,object
SEL,settlementDate,object,object,object,object
SEL,settlementPeriod,int64,int64,int64,int64
SEL,time,object,object,object,object
SIL,bmUnit,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,object
SIL,dataset,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,object
SIL,level,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,int64
SIL,nationalGridBmUnit,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,object
SIL,settlementDate,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,object
SIL,settlementPeriod,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,int64
SIL,time,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,object
TEMP,dataset,object,object,object,object
TEMP,measurementDate,object,object,object,object
TEMP,publishTime,object,object,object,object
TEMP,temperature,float64,float64,float64,float64
TSDF,boundary,object,object,object,object
TSDF,dataset,object,object,object,object
TSDF,demand,int64,int64,int64,int64
TSDF,publishTime,object,object,object,object
TSDF,settlementDate,object,object,object,object
TSDF,settlementPeriod,int64,int64,int64,int64
TSDF,startTime,object,object,object,object
TSDFD,dataset,object,object,object,object
TSDFD,demand,int64,int64,int64,int64
TSDFD,forecastDate,object,object,object,object
TSDFD,publishTime,object,object,object,object
TSDFW,dataset,object,object,object,object
TSDFW,demand,int64,int64,int64,int64
TSDFW,publishTime,object,object,object,object
TSDFW,week,int64,int64,int64,int64
TSDFW,year,int64,int64,int64,int64
UOU2T14D,bmUnit,object,object,object,object
UOU2T14D,dataset,object,object,object,object
UOU2T14D,forecastDate,object,object,object,object
UOU2T14D,fuelType,object,object,object,object
UOU2T14D,nationalGridBmUnit,object,object,object,object
UOU2T14D,outputUsable,int64,int64,int64,int64
UOU2T14D,publishTime,object,object,object,object
UOU2T3YW,bmUnit,object,object,object,object
UOU2T3YW,dataset,object,object,object,object
UOU2T3YW,fuelType,object,object,object,object
UOU2T3YW,nationalGridBmUnit,object,object,object,object
UOU2T3YW,outputUsable,int64,int64,int64,int64
UOU2T3YW,publishTime,object,object,object,object
UOU2T3YW,week,int64,int64,int64,int64
UOU2T3YW,year,int64,int64,int64,int64
WINDFOR,dataset,object,object,object,object
WINDFOR,generation,int64,int64,int64,int64
WINDFOR,publishTime,object,object,object,object
WINDFOR,startTime,object,object,object,object
