name,url,type,fuel,capacity_mw,operator,location,latitude,longitude,commissioned,status
Whitelee,https://electricityproduction.uk/plant/GBR0003489/,,Wind,322.0,CRE Energy/ Scottish Power,,,,,
CRE Energy/ Scottish Power,https://electricityproduction.uk/plant/owner/cre-energy-scottish-power/,,,423.5,,,,,,
Sheringham Shoal BMU 1 & 2,https://electricityproduction.uk/plant/GBR0002512/,,Wind,316.0,Vattenfall,,,,,
Vattenfall,https://electricityproduction.uk/plant/owner/vattenfall/,,,799.1,,,,,,
Foyers,https://electricityproduction.uk/plant/GBR2000657/,,Hydro,300.0,,,,,,
Thanet,https://electricityproduction.uk/plant/GBR0002499/,,Wind,300.0,Vattenfall Wind Power Ltd,,,,,
Vattenfall Wind Power Ltd,https://electricityproduction.uk/plant/owner/vattenfall-wind-power-ltd/,,,300.0,,,,,,
Race Bank (Phase 1),https://electricityproduction.uk/plant/GBR0002515/,,Wind,286.5,Orsted (formerly Dong Energy)/ Macquarie Group,,,,,
Orsted (formerly Dong Energy)/ Macquarie Group,https://electricityproduction.uk/plant/owner/orsted-formerly-dong-energy-macquarie-group/,,,286.5,,,,,,
Lincs,https://electricityproduction.uk/plant/GBR0002513/,,Wind,270.0,GIB,,,,,
GIB,https://electricityproduction.uk/plant/owner/gib/,,,270.0,,,,,,
Burbo Bank Extension (Burbo Bank 2),https://electricityproduction.uk/plant/GBR0002539/,,Wind,258.0,Orsted (formerly Dong Energy),,,,,
Peterborough,https://electricityproduction.uk/plant/GBR2000128/,,Gas,240.0,,,,,,
Kilgallioch wind farm,https://electricityproduction.uk/plant/GBR2001062/,,Wind,239.0,Scottish Power Renewables,,,,,
Scottish Power Renewables,https://electricityproduction.uk/plant/owner/scottish-power-renewables/,,,1252.94,,,,,,
Barry,https://electricityproduction.uk/plant/GBR2000125/,,Gas,235.0,,,,,,
Uskmouth Power,https://electricityproduction.uk/plant/GBR2000811/,,Coal,230.0,,,,,,
Pen y Cymoedd,https://electricityproduction.uk/plant/GBR0004595/,,Wind,228.0,Vattenfall (previously Nuon Renewables),,,,,
Vattenfall (previously Nuon Renewables),https://electricityproduction.uk/plant/owner/vattenfall-previously-nuon-renewables/,,,228.0,,,,,,
Stronelairg Wind Farm,https://electricityproduction.uk/plant/GBR2001073/,,Wind,228.0,Scottish and Southern Energy (SSE),,,,,
Scottish and Southern Energy (SSE),https://electricityproduction.uk/plant/owner/scottish-and-southern-energy-sse/,,,1535.58,,,,,,
Humber Gateway,https://electricityproduction.uk/plant/GBR0002544/,,Wind,219.0,E.ON  Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,,,,,
E.ON  Humber Wind Ltd/ Balfour Beatty Investments and Equitix.,https://electricityproduction.uk/plant/owner/eon-humber-wind-ltd-balfour-beatty-investments-and-equitix/,,,219.0,,,,,,
Whitelee 2,https://electricityproduction.uk/plant/GBR0003981/,,Wind,217.02,Scottish Power Renewables,,,,,
Westermost Rough,https://electricityproduction.uk/plant/GBR0002545/,,Wind,210.0,Orsted (formerly Dong Energy),,,,,
Griffin,https://electricityproduction.uk/plant/GBR0004028/,,Wind,188.6,Greenpower (Griffin) Ltd,,,,,
Greenpower (Griffin) Ltd,https://electricityproduction.uk/plant/owner/greenpower-griffin-ltd/,,,188.6,,,,,,
Walney 2,https://electricityproduction.uk/plant/GBR0002506/,,Wind,184.0,Orsted (formerly Dong Energy),,,,,
Walney 1,https://electricityproduction.uk/plant/GBR0002500/,,Wind,184.0,Orsted (formerly Dong Energy),,,,,
Fellside CHP,https://electricityproduction.uk/plant/GBR1000317/,,Cogeneration,180.0,Px Limited,,,,,
Px Limited,https://electricityproduction.uk/plant/owner/px-limited/,,,180.0,,,,,,
