bmUnit,total_acceptances,active_days,discharge_count,total_mw_discharged,discharge_revenue_gbp,avg_discharge_price,max_discharge_mw,charge_count,total_mw_charged,charge_cost_gbp,avg_charge_price,max_charge_mw,net_revenue_gbp,max_capacity_mw,avg_action_size_mw,duration_hours,energy_capacity_mwh,estimated_cycles,profit_per_cycle_gbp,revenue_per_mw_gbp,revenue_per_mwh_capacity_gbp,avg_cycles_per_day,utilization_pct,price_spread_captured_per_cycle,round_trip_efficiency_pct,capex_estimate_gbp,simple_payback_years,annual_roi_pct,total_energy_discharged_mwh,total_energy_charged_mwh,is_vlp,operator_type
T_SZJNB-1,14453,58,3897,74874,2848480.7199999997,76.35802523313208,57,4827,87046,2729066.9650000017,67.69118526785716,57,119413.75500000024,57,11.203210406144057,2.0,114.0,3897,30.642482678983896,2094.978157894741,1047.4890789473704,67.1896551724138,3359.4827586206898,8.666839965274917,100.0,22800000.0,190.932778221403,0.5237445394736853,37437.0,43523.0,True,VLP
T_PINFB-1,30451,334,8995,41845,1773007.17,88.83393389092576,25,9486,42073,1653895.84,82.8456989129241,25,119111.32999999999,25,2.755837246724244,2.0,50.0,8995,13.241948860478042,4764.4532,2382.2266,26.931137724550897,1346.556886227545,5.988234978001657,100.0,10000000.0,83.95506959749338,1.1911132999999998,20922.5,21036.5,True,VLP
T_WHLWB-1,15869,307,4984,25639,1103421.8499999996,88.13127010309279,50,4526,22691,998547.3024999998,91.87932944939455,50,104874.5475,50,3.045560526813284,2.0,100.0,4984,21.042244682985555,2097.49095,1048.745475,16.234527687296417,811.7263843648209,-3.7480593463017584,100.0,20000000.0,190.7040409399621,0.5243727375,12819.5,11345.5,True,VLP
T_WBURB-41,9229,200,2774,7842,391542.26999999984,108.95066617592933,20,2672,6430,288963.58499999985,94.84826433725783,20,102578.68500000001,20,1.5464297323653706,2.0,40.0,2774,36.97861751982697,5128.93425,2564.467125,13.87,693.5,14.102401838671497,100.0,8000000.0,77.98891163403,1.2822335625000003,3921.0,3215.0,True,VLP
E_CRSSB-1,28601,195,7507,29446,1145377.8275,79.80896001671775,19,8622,30469,1059450.8225000005,74.4833952351863,19,85927.00499999998,19,2.094856823188,2.0,38.0,7507,11.446250832556277,4522.473947368419,2261.2369736842097,38.4974358974359,1924.871794871795,5.325564781531455,100.0,7600000.0,88.44716512579488,1.130618486842105,14723.0,15234.5,True,VLP
E_CUPAB-1,10818,227,3388,51605,1811207.4025,75.98292679127727,40,3322,46215,1742561.3599999996,81.2669803548796,40,68646.04250000013,40,9.042336845997415,2.0,80.0,3388,20.261523760330615,1716.1510625000033,858.0755312500016,14.92511013215859,746.2555066079295,-5.284053563602342,100.0,16000000.0,233.0797146827506,0.4290377656250008,25802.5,23107.5,True,VLP
T_WBURB-43,8077,184,2475,4822,241513.2850000001,106.83127069536422,11,2288,4102,180242.17000000007,90.86635555555551,11,61271.115,11,1.1048656679460183,2.0,22.0,2475,24.756006060606058,5570.101363636363,2785.0506818181816,13.451086956521738,672.5543478260869,15.96491513980871,100.0,4400000.0,71.81197861341352,1.392525340909091,2411.0,2051.0,True,VLP
T_HRSTB-1,1024,17,372,4679,113033.15000000001,48.357661971830986,50,258,3467,89733.20999999998,54.480450819672136,50,23299.939999999995,50,7.955078125,2.0,100.0,372,62.63424731182794,465.9987999999999,232.99939999999995,21.88235294117647,1094.1176470588236,-6.12278884784115,100.0,20000000.0,858.3713091106674,0.11649969999999997,2339.5,1733.5,True,VLP
T_PINFB-3,28376,312,7915,33436,1473359.8975000007,90.74291326127077,25,9199,37720,1472714.4825,81.54067608991824,25,645.4150000000118,25,2.5076120665351,2.0,50.0,7915,0.08154327226784736,25.81660000000047,12.908300000000235,25.368589743589745,1268.4294871794873,9.202237171352536,100.0,10000000.0,15493.907021063684,0.006454150000000118,16718.0,18860.0,True,VLP
E_GRCRB-1,2426,34,654,1743,71272.09499999997,82.48703470031545,20,776,2097,71383.57000000011,68.19871313672925,20,-111.47499999998809,20,1.582852431986809,2.0,40.0,654,-0.17045107033637322,-5.5737499999994045,-2.7868749999997022,19.235294117647058,961.7647058823529,14.288321563586194,99.84383661394332,8000000.0,-71764.96972416107,-0.0013934374999998512,871.5,1048.5,True,VLP
T_PINFB-4,29620,313,8275,32930,1429927.7475000005,88.270524484373,25,9518,36557,1435216.0174999996,81.19437424458849,25,-5288.269999999948,25,2.345948683322078,2.0,50.0,8275,-0.639065861027184,-211.5307999999979,-105.76539999999895,26.437699680511184,1321.884984025559,7.076150239784511,99.63153490934343,10000000.0,-1890.9775786788682,-0.05288269999999948,16465.0,18278.5,True,VLP
E_ARNKB-2,3694,113,1019,1734,76185.88999999998,88.26182228915668,10,1188,2047,89242.39999999998,85.69509905254093,10,-13056.51,10,1.0235517054683274,2.0,20.0,1019,-12.81306182531894,-1305.651,-652.8255,9.017699115044248,450.8849557522124,2.5667232366157577,85.36961130583668,4000000.0,-306.3605818093809,-0.32641275000000003,867.0,1023.5,True,VLP
E_NEWPB-1,1430,14,371,2437,134914.47499999992,108.23204851752018,20,494,3097,149087.31000000008,94.73663967611334,20,-14172.834999999981,20,3.8699300699300707,2.0,40.0,371,-38.20171159029645,-708.6417499999991,-354.32087499999955,26.5,1325.0,13.495408841406842,90.4936006961289,8000000.0,-564.4601097804364,-0.17716043749999977,1218.5,1548.5,True,VLP
T_PINFB-2,27913,311,7898,33339,1455613.9174999997,88.77383956589958,25,8949,37171,1476355.9649999994,81.69040013999069,25,-20742.0475,25,2.526063124708918,2.0,50.0,7898,-2.6262405039250445,-829.6819,-414.84095,25.39549839228296,1269.774919614148,7.083439425908892,98.5950510587059,10000000.0,-482.1124819042093,-0.20742047500000002,16669.5,18585.5,True,VLP
E_TOLLB-1,5199,175,1308,6858,287791.7250000001,92.72313588850172,20,1792,9720,310712.60000000003,69.22483487450462,20,-22920.875000000004,49,3.1886901327178307,2.0,98.0,1308,-17.523604740061163,-467.77295918367355,-233.88647959183677,7.474285714285714,373.7142857142857,23.498301013997093,92.62312664500895,19600000.0,-855.1156969356535,-0.11694323979591838,3429.0,4860.0,True,VLP
T_PNYCB-1,44130,345,11869,22338,908509.2300000001,82.81215781140044,10,13069,22904,931797.1050000004,82.34865056818182,10,-23287.87499999999,10,1.0251982778155453,2.0,20.0,11869,-1.9620755750273813,-2328.787499999999,-1164.3937499999995,34.402898550724636,1720.1449275362318,0.4635072432186149,97.50075688419312,4000000.0,-171.76320295432717,-0.5821968749999997,11169.0,11452.0,True,VLP
E_OLDHB-1,27673,347,7761,17222,704979.3250000001,82.9274625253207,20,8727,18979,741146.8525,80.39622799614176,20,-36167.52749999997,20,1.3081704188197876,2.0,40.0,7761,-4.66016331658291,-1808.3763749999985,-904.1881874999992,22.365994236311238,1118.299711815562,2.5312345291789455,95.12005921930296,8000000.0,-221.19289188347219,-0.45209409374999965,8611.0,9489.5,True,VLP
T_BREDB-1,1114,18,302,4994,235934.335,94.75231788079472,49,397,6094,277574.64,91.42386363636365,49,-41640.30500000006,49,9.953321364452416,2.0,98.0,302,-137.8818046357618,-849.8021428571441,-424.90107142857204,16.77777777777778,838.8888888888889,3.3284542444310716,84.99851967744603,19600000.0,-470.69780108478966,-0.21245053571428602,2497.0,3047.0,True,VLP
E_NEWTB-1,5772,41,1312,11259,463274.415,78.21422360248445,49,2051,13900,510133.1199999993,68.93360728346465,49,-46858.70499999999,49,4.358801108801113,2.0,98.0,1312,-35.71547637195121,-956.3001020408161,-478.15005102040806,32.0,1600.0,9.2806163190198,90.81441624492066,19600000.0,-418.2787381768234,-0.23907502551020401,5629.5,6950.0,True,VLP
E_BROFB-1,4860,41,1061,5922,229292.98999999982,75.51940603700102,49,1738,8817,306909.115,67.2526046511628,49,-77616.12500000026,49,3.0327160493827208,2.0,98.0,1061,-73.15374646559874,-1584.0025510204134,-792.0012755102067,25.878048780487806,1293.9024390243903,8.266801385838221,74.71038779672602,19600000.0,-252.52484583583546,-0.3960006377551034,2961.0,4408.5,True,VLP
