year;dno_area;type;generation_or_demand;voltage_level;half_hourly_or_non_half_hourly;final_demand_or_non_final_demand;band;thresholds;tariff;tariff_alternative_name;ukpn_tariff_name;unit_rate_1;unit_rate_2;unit_rate_3;fixed_charge;capacity_charge;exceeded_capacity_charge;reactive_power_charge;current_year;thresholds_sort
2024/25;South Eastern England Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-10.397;-0.39;-0.133;0.0;0.0;0.0;0.311;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;11.894;0.446;0.152;229.77;0.0;0.0;0.0;false;04 More than 27543kWh
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;11.069;0.373;0.167;54.18;8.1;8.1;0.36;true;04 More than 250kVA
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;7.007;0.213;0.093;14.26;8.24;8.24;0.222;true;Unknown
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;7.007;0.213;0.093;50.78;8.24;8.24;0.222;true;04 More than 250kVA
2025/26;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;16.045;0.569;0.256;10.92;0.0;0.0;0.0;true;04 More than 27543kWh
2026/27;East of England Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-5.466;-0.559;-0.052;12.88;0.0;0.0;0.277;false;Unknown
2026/27;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;1.0;More than 0kWh and less than or equal to 3986kWh;Non-Domestic Aggregated Band 1;Non-Domestic Aggregated or CT Band 1;Non-Domestic Aggregated or CT Band 1;11.716;1.442;0.184;9.65;0.0;0.0;0.0;false;01 More than 0kWh and less than or equal to 3986kWh
2024/25;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;5.598;0.354;0.067;6905.26;4.34;5.93;0.195;false;03 More than 1100kVA and less than or equal to 2000kVA
2025/26;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;8.507;0.914;0.145;29.18;7.41;7.41;0.373;true;03 More than 150kVA and less than or equal to 250kVA
2026/27;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;8.149;0.937;0.108;28.67;8.04;8.04;0.369;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;4.0;More than 250kVA;LV Site Specific Band 4;LV Site Specific Band 4;LV Site Specific Band 4;9.93;0.746;0.149;1271.26;4.15;8.23;0.394;false;04 More than 250kVA
2024/25;East of England Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-8.061;-0.616;-0.124;0.0;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;6.613;0.455;0.087;243.68;5.16;6.63;0.241;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;East of England Electricity Network;Unmetered Supplies;;;;;;;Unmetered Supplies;Unmetered Supplies;Unmetered Supplies;39.281;2.899;2.2;0.0;0.0;0.0;0.0;false;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 500kVA;HV Site Specific Band 1;HV Site Specific Band 1;HV Site Specific Band 1;4.802;0.433;0.059;194.76;5.09;5.09;0.181;true;01 More than 0kVA and less than or equal to 500kVA
2025/26;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;4.0;More than 27543kWh;Non-Domestic Aggregated Band 4;Non-Domestic Aggregated or CT Band 4;Non-Domestic Aggregated or CT Band 4;11.834;1.349;0.226;10.58;0.0;0.0;0.0;true;04 More than 27543kWh
2026/27;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Non Final Demand;;;LV Site Specific No Residual;LV Site Specific No Residual;LV Site Specific No Residual;7.414;0.524;0.035;14.26;7.23;7.23;0.522;false;Unknown
2024/25;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;LV Sub Site Specific Band 2;4.384;0.376;0.019;19.46;7.64;8.64;0.308;false;02 More than 90kVA and less than or equal to 150kVA
2025/26;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Site Specific Band 1;LV Site Specific Band 1;LV Site Specific Band 1;4.2;0.227;0.046;24.89;3.54;3.54;0.297;true;01 More than 0kVA and less than or equal to 90kVA
2025/26;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;2.0;More than 90kVA and less than or equal to 150kVA;LV Site Specific Band 2;LV Site Specific Band 2;LV Site Specific Band 2;4.2;0.227;0.046;24.97;3.54;3.54;0.297;true;02 More than 90kVA and less than or equal to 150kVA
2025/26;London Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;6.353;0.344;0.09;5.19;0.0;0.0;0.0;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;5.221;0.282;0.074;5.92;0.0;0.0;0.0;true;03 More than 13677kWh and less than or equal to 27543kWh
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;6.923;0.215;0.068;43.13;7.39;7.39;0.214;false;01 More than 0kVA and less than or equal to 90kVA
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;6.923;0.215;0.068;86.44;7.39;7.39;0.214;false;03 More than 150kVA and less than or equal to 250kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;5.569;0.181;0.054;180.95;4.86;7.2;0.174;false;Unknown
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;1.0;More than 0kVA and less than or equal to 90kVA;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;LV Sub Site Specific Band 1;6.35;0.215;0.069;436.84;6.32;8.03;0.201;false;01 More than 0kVA and less than or equal to 90kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;6.35;0.215;0.069;1173.95;6.32;8.03;0.201;false;03 More than 150kVA and less than or equal to 250kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;6.35;0.215;0.069;2593.11;6.32;8.03;0.201;false;04 More than 250kVA
2024/25;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;3.0;More than 13677kWh and less than or equal to 27543kWh;Non-Domestic Aggregated Band 3;Non-Domestic Aggregated or CT Band 3;Non-Domestic Aggregated or CT Band 3;11.894;0.446;0.152;78.22;0.0;0.0;0.0;false;03 More than 13677kWh and less than or equal to 27543kWh
2025/26;South Eastern England Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-12.14;-0.431;-0.194;0.0;0.0;0.0;0.0;true;Unknown
2025/26;South Eastern England Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-12.14;-0.431;-0.194;0.0;0.0;0.0;0.401;true;Unknown
2026/27;East of England Electricity Network;Non Domestic;Generation;LV;Non Half Hourly;;;;LV Generation Aggregated;LV Generation Aggregated;LV Generation Aggregated;-9.135;-1.124;-0.144;0.0;0.0;0.0;0.0;false;Unknown
2024/25;East of England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;2.0;More than 3986kWh and less than or equal to 13677kWh;Non-Domestic Aggregated Band 2;Non-Domestic Aggregated or CT Band 2;Non-Domestic Aggregated or CT Band 2;10.991;0.864;0.176;22.93;0.0;0.0;0.0;false;02 More than 3986kWh and less than or equal to 13677kWh
2025/26;East of England Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;4.802;0.433;0.059;293.85;5.09;5.09;0.181;true;03 More than 1100kVA and less than or equal to 2000kVA
2025/26;East of England Electricity Network;Non Domestic;Generation;LV Sub;Half Hourly;;;;LV Sub Generation Site Specific;LV Sub Generation Site Specific;LV Generation Site Specific;-8.615;-0.982;-0.165;0.0;0.0;0.0;0.425;true;Unknown
2025/26;East of England Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;4.0;More than 250kVA;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;LV Sub Site Specific Band 4;5.536;0.538;0.077;37.81;5.66;5.66;0.221;true;04 More than 250kVA
2026/27;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Final Demand;3.0;More than 1100kVA and less than or equal to 2000kVA;HV Site Specific Band 3;HV Site Specific Band 3;HV Site Specific Band 3;0.104;0.0;0.0;0.0;9.19;9.19;0.244;false;03 More than 1100kVA and less than or equal to 2000kVA
2024/25;London Electricity Network;Non Domestic;Demand;HV;Half Hourly;Non Final Demand;;;HV Site Specific No Residual;HV Site Specific No Residual;HV Site Specific No Residual;3.318;0.283;0.013;118.65;7.86;8.78;0.235;false;Unknown
2024/25;London Electricity Network;Domestic;;;;;;;Domestic Aggregated with Residual;Domestic Aggregated or CT with Residual;Domestic Aggregated or CT with Residual;10.692;0.908;0.145;4.28;0.0;0.0;0.0;false;Unknown
2025/26;London Electricity Network;Non Domestic;Generation;HV;Half Hourly;;;;HV Generation Site Specific;HV Generation Site Specific;HV Generation Site Specific;-2.41;-0.13;-0.01;15.91;0.0;0.0;0.188;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Site Specific Band 3;LV Site Specific Band 3;LV Site Specific Band 3;4.2;0.227;0.046;25.16;3.54;3.54;0.297;true;03 More than 150kVA and less than or equal to 250kVA
2025/26;London Electricity Network;Non Domestic;Generation;LV Sub;Non Half Hourly;;;;LV Sub Generation Aggregated;LV Sub Generation Aggregated;LV Sub Generation Aggregated;-3.444;-0.186;-0.042;0.0;0.0;0.0;0.0;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Non Final Demand;;;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;LV Sub Site Specific No Residual;2.888;0.156;0.012;19.97;4.37;4.37;0.193;true;Unknown
2025/26;London Electricity Network;Non Domestic;Demand;LV Sub;Half Hourly;Final Demand;3.0;More than 150kVA and less than or equal to 250kVA;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;LV Sub Site Specific Band 3;2.888;0.156;0.012;20.4;4.37;4.37;0.193;true;03 More than 150kVA and less than or equal to 250kVA
2025/26;London Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Final Demand;2.0;More than 3986kWh and less than or equal to 13677kWh;Non-Domestic Aggregated Band 2;Non-Domestic Aggregated or CT Band 2;Non-Domestic Aggregated or CT Band 2;5.221;0.282;0.074;5.9;0.0;0.0;0.0;true;02 More than 3986kWh and less than or equal to 13677kWh
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Non Half Hourly;Non Final Demand;;;Non-Domestic Aggregated No Residual;Non-Domestic Aggregated or CT No Residual;Non-Domestic Aggregated or CT No Residual;15.864;0.574;0.178;9.3;0.0;0.0;0.0;false;Unknown
2026/27;South Eastern England Electricity Network;Non Domestic;Demand;LV;Half Hourly;Non Final Demand;;;LV Site Specific No Residual;LV Site Specific No Residual;LV Site Specific No Residual;11.311;0.389;0.121;20.81;8.57;8.57;0.361;false;Unknown
