DATETIME,FPN,BOA,Difference
2023-07-18T10:30:00,276.9,269.514,-7.386
2023-09-01T15:30:00,282.72,283.032,0.312
2023-09-21T11:00:00,171.34,202.886,31.546
2023-09-23T02:00:00,122.02,137.796,15.776
2023-09-26T05:30:00,162.86,187.366,24.506
2021-05-05T00:30:00,112.8,134.004,21.204
2021-05-05T01:00:00,112.8,136.138,23.338
2021-07-09T21:30:00,308.18,305.012,-3.168
2022-01-02T18:00:00,77.66,96.142,18.482
2022-05-10T10:00:00,125.62,134.99,9.37
2023-01-20T23:30:00,217.08,214.372,-2.708
2023-01-23T13:30:00,294.3,296.492,2.192
2023-04-14T10:00:00,273.28,273.192,-0.088
2023-05-22T03:30:00,173.18,154.594,-18.586
2023-05-29T20:30:00,147.6,144.81799999999996,-2.782
2023-06-02T03:30:00,176.9,179.65,2.75
2023-08-01T10:00:00,186.0,185.952,-0.048
2023-08-06T01:00:00,75.68,75.672,-0.008
2023-08-10T14:00:00,251.8,251.806,0.006
2023-09-01T16:00:00,283.1,279.596,-3.504
2023-09-13T19:30:00,250.82,254.09,3.27
2023-09-13T21:00:00,204.58,217.904,13.324000000000002
2021-05-05T02:00:00,112.56,143.658,31.09800000000001
2021-05-05T03:00:00,110.46,133.192,22.732
2021-05-05T03:30:00,111.5,135.72799999999998,24.228
2022-05-10T19:00:00,160.38,168.21200000000005,7.832000000000002
2022-06-16T13:00:00,256.64,257.73400000000004,1.094
2022-08-04T05:30:00,255.64,256.158,0.518
2022-12-24T12:30:00,107.2,99.306,-7.894
2023-04-09T16:30:00,107.02,144.446,37.426
2023-06-02T14:30:00,161.84,178.0,16.16
2023-08-12T04:00:00,81.52,81.39,-0.13
2023-09-23T08:30:00,229.48,228.388,-1.092
2023-10-03T00:00:00,89.56,87.13799999999998,-2.422
2023-12-13T11:30:00,269.55999999999995,267.40400000000005,-2.156000000000036
2024-02-15T17:30:00,222.60000000000008,220.026,-2.5739999999999954
2024-02-17T11:00:00,177.72,179.78800000000007,2.067999999999996
2024-02-28T22:00:00,61.12000000000001,83.58600000000003,22.466
2024-03-13T21:00:00,154.21999999999997,183.3040000000001,29.084000000000003
2024-03-15T14:00:00,63.59999999999997,69.11800000000001,5.5180000000000025
2024-03-19T04:30:00,70.34000000000002,95.43000000000002,25.09000000000001
2021-05-05T04:00:00,113.16,135.18,22.02
2021-05-05T04:30:00,125.74,147.674,21.934
2021-05-05T05:30:00,174.7,176.308,1.608
2021-07-10T09:00:00,287.98,287.83,-0.15
2022-08-05T21:30:00,261.56,257.43,-4.13
2022-10-24T13:00:00,186.44,179.74,-6.7
2023-04-25T21:30:00,297.36,301.452,4.092
2023-05-13T14:00:00,198.82,194.872,-3.948
2023-06-03T17:30:00,205.92,198.468,-7.452000000000001
2023-09-01T16:30:00,282.56,280.88,-1.68
2023-09-21T13:00:00,177.88,210.522,32.642
2024-03-17T05:00:00,91.98000000000002,105.042,13.061999999999996
2021-05-05T06:00:00,194.1,192.958,-1.142
2021-05-05T08:00:00,185.02,191.004,5.984
2021-07-10T09:30:00,284.08,283.848,-0.232
2022-05-10T19:30:00,162.64,169.206,6.566
2022-07-16T16:00:00,210.76,209.154,-1.606
2023-01-31T03:30:00,36.58,71.29,34.71
2023-04-09T13:30:00,34.84,76.02,41.18
2023-09-02T04:30:00,246.82,247.69,0.87
2023-09-19T08:00:00,79.86,69.672,-10.188
2023-10-03T00:30:00,81.16,101.318,20.158
2023-10-03T06:30:00,93.02,90.564,-2.456
2023-10-13T03:00:00,125.99999999999996,127.304,1.3039999999999987
2024-02-10T03:30:00,118.01999999999998,124.756,6.736000000000009
2021-05-05T10:30:00,183.94,190.262,6.322
2021-07-10T10:00:00,283.48,282.038,-1.442
2021-07-10T13:00:00,276.24,276.6,0.36
2021-07-10T15:00:00,279.16,279.328,0.168
2022-07-28T03:30:00,283.9,284.948,1.048
2022-08-09T08:00:00,223.72,227.14,3.42
2022-11-06T10:30:00,84.52,94.81,10.29
2023-02-06T18:00:00,264.36,263.966,-0.394
2023-04-09T14:00:00,37.08,80.24,43.16
2023-06-14T19:00:00,239.94,239.94,1.89e-15
2023-08-08T16:30:00,219.24,219.224,-0.016
2024-03-23T22:00:00,31.89999999999999,67.89999999999999,35.999999999999986
2021-05-05T11:00:00,185.38,192.532,7.152
2021-05-05T11:30:00,188.32,195.858,7.5379999999999985
2021-08-04T07:00:00,270.44,266.564,-3.876
2022-08-10T20:00:00,277.32,278.35,1.03
2022-10-24T13:30:00,190.28,181.68,-8.6
2022-11-16T17:30:00,218.14,216.17,-1.97
2022-12-08T15:00:00,284.18,284.084,-0.096
2023-01-13T12:30:00,81.6,93.214,11.614
2023-04-20T19:30:00,167.86,176.356,8.496
2023-05-04T08:30:00,57.7,100.34,42.64
2023-09-14T22:30:00,234.72,237.566,2.846
2023-09-23T09:00:00,230.5,222.004,-8.496
2024-03-13T22:30:00,102.66,127.45199999999998,24.792
2024-03-15T00:00:00,75.77999999999997,82.32799999999995,6.547999999999999
2024-03-16T04:00:00,200.2800000000001,201.334,1.054000000000004
2024-03-22T22:00:00,33.560000000000024,80.48800000000001,46.92800000000001
2024-03-23T21:00:00,25.059999999999995,67.47599999999997,42.41599999999999
2021-04-02T11:30:00,221.48,215.386,-6.093999999999999
2021-04-07T10:30:00,226.72,224.908,-1.812
2021-05-05T12:00:00,193.18,201.314,8.134
2021-05-05T12:30:00,196.1,205.27,9.17
2021-05-05T17:00:00,243.9,243.27,-0.63
2021-05-05T17:30:00,248.32,248.004,-0.316
2021-05-05T18:00:00,253.86,252.178,-1.682
2021-09-06T23:00:00,266.3,268.242,1.942
2022-05-10T20:00:00,160.12,167.32,7.2
2022-06-15T22:30:00,242.48,243.204,0.7240000000000001
2022-10-31T09:00:00,153.88,163.91,10.03
2022-12-08T15:30:00,286.74,285.326,-1.414
2023-02-26T04:30:00,147.92,144.632,-3.2880000000000003
2023-04-09T14:30:00,43.34,80.184,36.844
2023-07-08T12:00:00,72.46,106.756,34.296
2023-08-21T15:00:00,174.82,183.856,9.036
2023-09-15T16:30:00,271.4,273.358,1.958
2021-04-02T12:00:00,211.7,210.932,-0.768
2021-04-07T13:30:00,235.1,235.48,0.38
2021-07-10T15:30:00,283.62,283.14,-0.48
2021-07-10T16:00:00,283.4,281.656,-1.744
2021-07-10T16:30:00,285.72,282.42,-3.3
2022-12-08T16:00:00,286.34,285.444,-0.8959999999999999
2023-04-09T15:00:00,62.4,94.316,31.916
2023-04-24T01:30:00,80.38,97.196,16.816
2023-05-04T09:30:00,40.0,70.17399999999999,30.174
2023-05-29T21:30:00,134.4,139.972,5.572
2023-06-10T17:30:00,109.08,103.606,-5.474
2023-07-22T09:30:00,141.56,148.612,7.0520000000000005
2023-09-07T06:30:00,285.76,277.356,-8.404
2024-02-01T17:00:00,212.89999999999992,216.46400000000003,3.564
2024-03-12T20:30:00,203.46,194.3580000000001,-9.102000000000002
2021-05-05T18:30:00,260.56,258.394,-2.166
2021-05-05T19:00:00,264.84,263.126,-1.714
2021-07-10T17:00:00,288.38,286.548,-1.832
2022-04-06T10:30:00,150.6,148.1,-2.5
2022-05-10T20:30:00,156.46,162.672,6.2120000000000015
2022-08-12T02:30:00,279.6,278.812,-0.7879999999999999
2023-06-15T06:30:00,265.78,263.018,-2.762
2023-07-08T14:30:00,115.08,128.886,13.806
2023-07-11T07:30:00,190.04,189.804,-0.236
2023-08-24T06:00:00,291.42,288.2940000000001,-3.1260000000000003
2023-09-21T13:30:00,179.66,213.864,34.204
2023-12-09T13:30:00,121.84000000000002,107.67599999999996,-14.163999999999994
2024-02-02T19:00:00,48.33999999999998,79.09400000000002,30.754000000000016
2024-02-29T07:30:00,136.69999999999996,154.45599999999996,17.756000000000007
2021-04-02T12:30:00,205.46,206.33,0.87
2021-04-02T13:00:00,200.62,198.662,-1.958
2021-05-05T19:30:00,268.76,268.474,-0.286
2021-05-05T20:00:00,274.42,273.956,-0.464
2022-01-29T15:00:00,83.2,84.706,1.506
2022-05-30T00:00:00,260.4,259.04200000000003,-1.358
2022-07-16T19:30:00,252.9,246.866,-6.034
2022-12-08T16:30:00,285.52,285.136,-0.384
2023-02-01T15:30:00,111.7,120.796,9.096
2023-03-03T06:30:00,285.26,282.9120000000001,-2.3480000000000003
2023-03-05T04:30:00,244.78,243.734,-1.046
2023-04-09T20:00:00,90.86,138.872,48.012
2023-04-11T22:30:00,38.2,85.728,47.528
2023-06-16T23:30:00,271.18,274.34,3.16
2023-07-13T18:30:00,246.0,243.746,-2.254
2023-09-03T23:30:00,189.6,196.04,6.44
2023-09-07T07:30:00,283.36,275.9,-7.46
2023-09-19T08:30:00,76.1,70.69800000000002,-5.402
2021-04-02T13:30:00,195.28,191.842,-3.438
2021-04-02T14:00:00,192.38,186.286,-6.093999999999999
2021-04-02T14:30:00,192.16,185.396,-6.763999999999999
2021-07-10T17:30:00,292.44,290.118,-2.322
2021-09-09T07:00:00,304.16,300.158,-4.002
2021-10-17T03:30:00,144.72,144.858,0.138
2022-06-24T02:30:00,256.2,253.862,-2.338
2023-01-13T20:30:00,140.66,147.31799999999996,6.658
2023-02-06T12:30:00,272.64,268.152,-4.488
2023-04-11T23:00:00,39.0,94.35,55.35
2023-08-03T02:30:00,51.2,51.148,-0.052
