Location,Units,Mean,Standard Deviation,Max,Min
Liscombe  ,µGy/h  ,1.30E-01,5.68E-03,1.70E-01,1.10E-01
London (Grays Inn)  ,µGy/h  ,8.52E-02,5.03E-03,1.00E-01,8.00E-02
Lossiemouth  ,µGy/h  ,9.80E-02,4.75E-03,1.20E-01,9.00E-02
Lydd (Airport)  ,µGy/h  ,8.02E-02,3.29E-03,1.10E-01,7.00E-02
Lyneham  ,µGy/h  ,9.98E-02,2.90E-03,1.10E-01,9.00E-02
Machrihanish  ,µGy/h  ,1.01E-01,4.11E-03,1.30E-01,9.00E-02
Manston  ,µGy/h  ,9.85E-02,4.37E-03,1.30E-01,9.00E-02
Marham  ,µGy/h  ,8.97E-02,3.16E-03,1.10E-01,8.00E-02
Mepal  ,µGy/h  ,1.03E-01,4.95E-03,1.40E-01,9.00E-02
Milford Haven  ,µGy/h  ,1.12E-01,4.76E-03,1.40E-01,1.00E-01
Mumbles Head  ,µGy/h  ,9.37E-02,6.03E-03,1.20E-01,8.00E-02
Nottingham WC (Watnall)  ,µGy/h  ,1.11E-01,4.86E-03,1.40E-01,1.00E-01
Oban  ,µGy/h  ,1.30E-01,4.55E-03,1.40E-01,1.10E-01
Odiham  ,µGy/h  ,9.74E-02,9.26E-03,1.30E-01,8.00E-02
Pershore  ,µGy/h  ,1.18E-01,5.57E-03,1.40E-01,1.10E-01
Plymouth  ,µGy/h  ,1.21E-01,4.49E-03,1.50E-01,1.10E-01
Portland Bill  ,µGy/h  ,9.63E-02,6.66E-03,1.20E-01,8.00E-02
Prestwick  ,µGy/h  ,9.05E-02,3.95E-03,1.10E-01,8.00E-02
Rhyl  ,µGy/h  ,1.25E-01,5.13E-03,1.40E-01,1.20E-01
Ronaldsway (Isle of Man)  ,µGy/h  ,9.51E-02,5.54E-03,1.20E-01,9.00E-02
Scilly  ,µGy/h  ,1.40E-01,4.45E-03,1.60E-01,1.30E-01
Shawbury  ,µGy/h  ,9.67E-02,5.01E-03,1.40E-01,9.00E-02
Shin  ,µGy/h  ,1.23E-01,7.53E-03,1.40E-01,1.00E-01
Shobdon  ,µGy/h  ,1.19E-01,5.45E-03,1.50E-01,1.10E-01
Shoeburyness  ,µGy/h  ,1.09E-01,4.64E-03,1.40E-01,1.00E-01
Squires Gate (Blackpool)  ,µGy/h  ,9.24E-02,4.65E-03,1.10E-01,8.00E-02
St Angelo  ,µGy/h  ,1.05E-01,5.13E-03,1.20E-01,1.00E-01
St Athan  ,µGy/h  ,1.01E-01,3.56E-03,1.20E-01,9.00E-02
St Catherines (Isle of Wight)  ,µGy/h  ,1.07E-01,4.78E-03,1.30E-01,1.00E-01
St Mawgan  ,µGy/h  ,1.25E-01,5.38E-03,1.50E-01,1.10E-01
Stoer Head  ,µGy/h  ,1.18E-01,4.56E-03,1.30E-01,1.10E-01
Stornoway  ,µGy/h  ,1.03E-01,4.46E-03,1.20E-01,9.00E-02
Strathallan  ,µGy/h  ,1.06E-01,6.61E-03,1.20E-01,9.00E-02
Thorney Island  ,µGy/h  ,1.14E-01,5.41E-03,1.40E-01,1.00E-01
Tiree  ,µGy/h  ,8.82E-02,4.90E-03,1.10E-01,8.00E-02
Trawscoed  ,µGy/h  ,1.11E-01,4.27E-03,1.20E-01,1.00E-01
Tulloch Bridge  ,µGy/h  ,1.22E-01,4.51E-03,1.40E-01,1.10E-01
Turnhouse (Edinburgh Airport)  ,µGy/h  ,1.01E-01,5.40E-03,1.20E-01,8.00E-02
Valley  ,µGy/h  ,1.00E-01,5.62E-03,1.30E-01,8.00E-02
Waddington  ,µGy/h  ,9.55E-02,5.53E-03,1.20E-01,8.00E-02
Warcop Range  ,µGy/h  ,1.08E-01,4.89E-03,1.30E-01,1.00E-01
Wattisham  ,µGy/h  ,8.98E-02,3.92E-03,1.10E-01,8.00E-02
West Freugh  ,µGy/h  ,9.23E-02,4.72E-03,1.20E-01,8.00E-02
Wick  ,µGy/h  ,1.22E-01,6.70E-03,1.50E-01,1.00E-01
Wilsden (Bingley)  ,µGy/h  ,1.03E-01,5.13E-03,1.40E-01,9.00E-02
Wittering  ,µGy/h  ,1.15E-01,5.62E-03,1.60E-01,1.00E-01
Yeovilton  ,µGy/h  ,1.11E-01,4.31E-03,1.50E-01,1.00E-01
