Location,Units,Mean,Standard Deviation,Max,Min
St Athan  ,µGy/h  ,1.03E-01,4.70E-03,1.20E-01,9.00E-02
St Catherines (Isle of Wight)  ,µGy/h  ,1.01E-01,3.22E-03,1.20E-01,9.00E-02
St Mawgan  ,µGy/h  ,1.24E-01,5.40E-03,1.60E-01,1.10E-01
Stoer Head  ,µGy/h  ,1.24E-01,8.56E-03,1.50E-01,1.10E-01
Stornoway  ,µGy/h  ,1.03E-01,4.54E-03,1.20E-01,1.00E-01
Strathallan*  ,µGy/h  ,1.03E-01,7.56E-03,1.30E-01,9.00E-02
Thorney Island*  ,µGy/h  ,1.19E-01,5.26E-03,1.40E-01,1.00E-01
Tiree*  ,µGy/h  ,8.13E-02,3.62E-03,1.00E-01,7.00E-02
Trawscoed*  ,µGy/h  ,1.11E-01,4.36E-03,1.20E-01,1.00E-01
Tulloch Bridge  ,µGy/h  ,1.09E-01,7.31E-03,1.30E-01,9.00E-02
Turnhouse (Edinburgh Airport)  ,µGy/h  ,1.01E-01,5.46E-03,1.30E-01,9.00E-02
Valley  ,µGy/h  ,9.90E-02,4.86E-03,1.60E-01,9.00E-02
Waddington*  ,µGy/h  ,1.13E-01,4.71E-03,1.30E-01,1.00E-01
Warcop Range  ,µGy/h  ,1.06E-01,5.33E-03,1.20E-01,9.00E-02
Wattisham*  ,µGy/h  ,1.11E-01,1.22E-02,1.40E-01,8.00E-02
West Freugh*  ,µGy/h  ,8.58E-02,5.13E-03,1.00E-01,8.00E-02
Wick*  ,µGy/h  ,1.00E-01,4.20E-03,1.20E-01,9.00E-02
Wilsden (Bingley)  ,µGy/h  ,1.18E-01,5.00E-03,1.40E-01,1.00E-01
Wittering*  ,µGy/h  ,1.11E-01,4.28E-03,1.40E-01,1.00E-01
Yeovilton*  ,µGy/h  ,1.11E-01,4.28E-03,1.30E-01,1.00E-01
