Location,Units,Mean,Standard Deviation,Max,Min
Dyce (Aberdeen Airport)  ,µGy/h  ,1.21E-01,3.84E-03,1.30E-01,1.10E-01
East Malling  ,µGy/h  ,1.01E-01,4.03E-03,1.30E-01,9.00E-02
Eskdalemuir  ,µGy/h  ,1.17E-01,5.59E-03,1.30E-01,1.00E-01
Eskmeals  ,µGy/h  ,1.05E-01,6.79E-03,1.30E-01,8.00E-02
Exeter  ,µGy/h  ,1.43E-01,5.22E-03,1.60E-01,1.30E-01
Fylingdales  ,µGy/h  ,1.04E-01,4.87E-03,1.20E-01,9.00E-02
Gatwick  ,µGy/h  ,1.13E-01,5.74E-03,1.40E-01,1.00E-01
Glenanne  ,µGy/h  ,1.06E-01,4.95E-03,1.20E-01,1.00E-01
Guernsey  ,µGy/h  ,9.04E-02,2.84E-03,1.20E-01,8.00E-02
Heathrow  ,µGy/h  ,1.10E-01,3.47E-03,1.20E-01,1.00E-01
Herstmonceux  ,µGy/h  ,1.07E-01,2.57E-02,1.24E+00,9.00E-02
Hurn (Bournemouth)  ,µGy/h  ,8.72E-02,4.55E-03,1.00E-01,8.00E-02
Inverbervie  ,µGy/h  ,1.18E-01,7.47E-03,1.40E-01,1.00E-01
Jersey  ,µGy/h  ,1.01E-01,4.03E-03,1.70E-01,9.00E-02
Kirkwall  ,µGy/h  ,1.00E-01,2.81E-03,1.10E-01,9.00E-02
Lake Vyrnwy  ,µGy/h  ,1.11E-01,4.06E-03,1.30E-01,1.00E-01
Langdon Bay  ,µGy/h  ,1.06E-01,6.17E-03,1.40E-01,9.00E-02
Leconfield  ,µGy/h  ,1.16E-01,6.54E-03,1.40E-01,1.00E-01
Leeming  ,µGy/h  ,1.10E-01,4.76E-03,1.20E-01,1.00E-01
Lerwick  ,µGy/h  ,1.06E-01,6.65E-03,1.20E-01,9.00E-02
Leuchars  ,µGy/h  ,1.06E-01,6.90E-03,1.30E-01,9.00E-02
Liscombe  ,µGy/h  ,1.30E-01,7.40E-03,1.50E-01,1.10E-01
London (Grays Inn)  ,µGy/h  ,8.57E-02,5.12E-03,1.20E-01,8.00E-02
Lossiemouth  ,µGy/h  ,9.31E-02,4.71E-03,1.10E-01,8.00E-02
Lydd (Airport)  ,µGy/h  ,7.97E-02,3.01E-03,1.20E-01,7.00E-02
Lyneham  ,µGy/h  ,9.42E-02,5.12E-03,1.10E-01,8.00E-02
Machrihanish  ,µGy/h  ,1.00E-01,2.64E-03,1.10E-01,9.00E-02
Manston  ,µGy/h  ,1.03E-01,4.91E-03,1.50E-01,9.00E-02
Marham  ,µGy/h  ,8.95E-02,3.28E-03,1.40E-01,8.00E-02
Mepal  ,µGy/h  ,1.05E-01,5.10E-03,1.30E-01,9.00E-02
Milford Haven  ,µGy/h  ,1.16E-01,5.45E-03,1.30E-01,1.00E-01
Mumbles Head  ,µGy/h  ,9.32E-02,5.89E-03,1.10E-01,8.00E-02
Nottingham WC (Watnall)  ,µGy/h  ,1.06E-01,5.80E-03,1.30E-01,9.00E-02
Oban  ,µGy/h  ,1.14E-01,6.49E-03,1.30E-01,1.00E-01
Odiham  ,µGy/h  ,9.88E-02,7.12E-03,1.20E-01,9.00E-02
Pershore  ,µGy/h  ,1.18E-01,4.92E-03,1.30E-01,1.10E-01
Plymouth  ,µGy/h  ,1.33E-01,5.72E-03,1.50E-01,1.20E-01
Portland Bill  ,µGy/h  ,9.52E-02,6.31E-03,1.20E-01,8.00E-02
Prestwick  ,µGy/h  ,8.04E-02,2.38E-03,9.00E-02,7.00E-02
Rhyl  ,µGy/h  ,1.22E-01,6.13E-03,1.40E-01,1.10E-01
Ronaldsway (Isle of Man)  ,µGy/h  ,9.62E-02,4.96E-03,1.10E-01,9.00E-02
Scilly  ,µGy/h  ,1.42E-01,7.50E-03,1.70E-01,1.20E-01
Shawbury  ,µGy/h  ,9.46E-02,5.11E-03,1.10E-01,8.00E-02
Shin  ,µGy/h  ,1.21E-01,3.81E-03,1.30E-01,1.10E-01
Shobdon  ,µGy/h  ,1.20E-01,4.95E-03,1.50E-01,1.10E-01
Shoeburyness  ,µGy/h  ,1.09E-01,4.49E-03,1.30E-01,1.00E-01
Squires Gate (Blackpool)  ,µGy/h  ,9.15E-02,3.75E-03,1.00E-01,8.00E-02
St Angelo  ,µGy/h  ,1.07E-01,4.78E-03,1.20E-01,1.00E-01
St Athan  ,µGy/h  ,1.03E-01,4.62E-03,1.20E-01,9.00E-02
St Catherines (Isle of Wight)  ,µGy/h  ,1.05E-01,5.46E-03,1.30E-01,9.00E-02
St Mawgan  ,µGy/h  ,1.28E-01,5.38E-03,1.40E-01,1.10E-01
Stoer Head  ,µGy/h  ,1.16E-01,4.96E-03,1.30E-01,1.00E-01
Stornoway  ,µGy/h  ,1.02E-01,3.70E-03,1.10E-01,9.00E-02
Strathallan  ,µGy/h  ,1.12E-01,6.61E-03,1.50E-01,1.00E-01
Thorney Island  ,µGy/h  ,1.20E-01,4.71E-03,1.40E-01,1.10E-01
Tiree  ,µGy/h  ,8.51E-02,5.08E-03,1.00E-01,7.00E-02
Trawscoed  ,µGy/h  ,1.14E-01,5.15E-03,1.30E-01,1.00E-01
Tulloch Bridge  ,µGy/h  ,1.15E-01,5.21E-03,1.30E-01,1.00E-01
Turnhouse (Edinburgh Airport)  ,µGy/h  ,1.01E-01,4.24E-03,1.10E-01,9.00E-02
Valley  ,µGy/h  ,1.01E-01,3.35E-03,1.10E-01,9.00E-02
Waddington*  ,µGy/h  ,1.16E-01,6.34E-03,1.50E-01,1.00E-01
Warcop Range  ,µGy/h  ,1.10E-01,4.32E-03,1.20E-01,1.00E-01
Wattisham  ,µGy/h  ,9.09E-02,3.45E-03,1.10E-01,8.00E-02
West Freugh  ,µGy/h  ,8.56E-02,5.33E-03,1.30E-01,8.00E-02
Wick  ,µGy/h  ,1.14E-01,1.23E-02,1.40E-01,9.00E-02
Wilsden (Bingley)  ,µGy/h  ,1.20E-01,4.02E-03,1.30E-01,1.10E-01
Wittering  ,µGy/h  ,1.13E-01,4.67E-03,1.30E-01,1.00E-01
Yeovilton  ,µGy/h  ,1.13E-01,4.66E-03,1.30E-01,1.00E-01
