Location,Units,Mean,Standard Deviation,Max,Min
St Athan  ,µGy/h  ,1.01E-01,3.24E-03,1.20E-01,9.00E-02
St Catherines (Isle of Wight)  ,µGy/h  ,1.06E-01,5.17E-03,1.30E-01,1.00E-01
St Mawgan  ,µGy/h  ,1.21E-01,5.19E-03,1.50E-01,1.10E-01
Stoer Head  ,µGy/h  ,1.24E-01,5.74E-03,1.40E-01,1.10E-01
Stornoway  ,µGy/h  ,1.03E-01,4.52E-03,1.20E-01,9.00E-02
Strathallan  ,µGy/h  ,1.07E-01,5.50E-03,1.20E-01,9.00E-02
Thorney Island  ,µGy/h  ,1.12E-01,4.53E-03,1.50E-01,1.00E-01
Tiree  ,µGy/h  ,8.74E-02,5.03E-03,1.10E-01,8.00E-02
Trawscoed  ,µGy/h  ,1.11E-01,3.90E-03,1.30E-01,1.00E-01
Tulloch Bridge  ,µGy/h  ,1.21E-01,5.32E-03,1.40E-01,1.10E-01
Turnhouse (Edinburgh Airport)  ,µGy/h  ,9.86E-02,4.73E-03,1.20E-01,9.00E-02
Valley  ,µGy/h  ,1.00E-01,4.77E-03,1.20E-01,8.00E-02
Waddington  ,µGy/h  ,9.52E-02,5.11E-03,1.10E-01,9.00E-02
Warcop Range  ,µGy/h  ,1.08E-01,4.59E-03,1.40E-01,1.00E-01
Wattisham  ,µGy/h  ,8.92E-02,3.91E-03,1.20E-01,8.00E-02
West Freugh  ,µGy/h  ,9.21E-02,4.57E-03,1.20E-01,8.00E-02
Wick  ,µGy/h  ,1.24E-01,5.28E-03,1.50E-01,1.10E-01
Wilsden (Bingley)  ,µGy/h  ,1.03E-01,4.95E-03,1.20E-01,9.00E-02
Wittering  ,µGy/h  ,1.16E-01,5.23E-03,1.30E-01,1.10E-01
Yeovilton  ,µGy/h  ,1.10E-01,3.80E-03,1.30E-01,1.00E-01
