Oct-Dec 2020 ambient gamma dose rates across the UK,,,,,,
Location,Units,Site Normal Level,Standard Deviation,Mean,Max,Min
Stoer Head  ,µGy/h  ,0.10,0.01,0.10,0.15,0.09
Stornoway  ,µGy/h  ,0.10,0.01,0.10,0.15,0.08
Strathallan*  ,µGy/h  ,0.12,0.01,0.12,0.18,0.10
Thorney Island  ,µGy/h  ,0.12,0.01,0.11,0.18,0.08
Tiree  ,µGy/h  ,0.09,0.01,0.09,0.15,0.07
Trawscoed  ,µGy/h  ,0.12,0.01,0.12,0.17,0.09
Tulloch Bridge  ,µGy/h  ,0.12,0.01,0.12,0.16,0.10
Turnhouse (Edinburgh Airport)*  ,µGy/h  ,0.10,0.01,0.11,0.16,0.08
Valley  ,µGy/h  ,0.10,0.01,0.10,0.17,0.08
Waddington  ,µGy/h  ,0.10,0.01,0.10,0.15,0.08
Walney Island  ,µGy/h  ,0.12,0.01,0.11,0.18,0.10
Warcop Range*  ,µGy/h  ,0.11,0.01,0.11,0.15,0.09
Wattisham  ,µGy/h  ,0.11,0.01,0.11,0.17,0.09
West Freugh  ,µGy/h  ,0.10,0.01,0.09,0.14,0.08
Wick  ,µGy/h  ,0.11,0.01,0.11,0.19,0.10
Wilsden (Bingley)*  ,µGy/h  ,0.11,0.01,0.11,0.19,0.09
Wittering  ,µGy/h  ,0.11,0.01,0.11,0.18,0.10
Yeovilton  ,µGy/h  ,0.11,0.01,0.11,0.19,0.09
,,,,,,
*indicates a change to Site Normal Level during the period,,,,,,
