Year,MPAN_Code,DNO_Key,Short_Code,Band,Time_Period,Min_Rate_p_kWh,Max_Rate_p_kWh,Mean_Rate_p_kWh,Median_Rate_p_kWh,GSP_Group_ID,GSP_Group_Name,Count,Unit,File_Path
2018,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.994,3.03,2.0171052631578945,2.041,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
2018,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0728952476373683,2.6198225798150037,1.669399517513293,1.692607640325853,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
2018,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,K,South Wales,59,p/kWh,dno_data_enhanced/SWAE-Schedule-of-charges-and-other-tables-2018-SOLR3.xlsx
2019,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.37,2.974,2.878,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.91,2.082,1.954,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.0,1.4610778443113772,1.0,K,South Wales,167,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.5830000000000002,4.37,2.7907894736842103,3.052,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.076,2.91,2.015,2.071,K,South Wales,19,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.006,1.032,1.0227777777777778,1.024,K,South Wales,9,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),0.11633541,3.26607369,1.24957782,1.05145836,K,South Wales,4,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2019,21,NGED-SWales,SWALES,RED,16:00-19:00 (weekdays) (default),1.0,2.0,1.4745762711864407,1.0,K,South Wales,59,p/kWh,dno_data_enhanced/SWAE - Schedule of charges and other tables - 2019 V.0.1 SOLR.xlsx
2020,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,4.39,2.9829999999999997,2.881,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2020 v2.xlsx
2020,21,NGED-SWales,SWALES,GREEN,"23:00-07:00 (all days), all day (weekends) (default)",1.0,2.95,2.0926666666666667,1.938,K,South Wales,15,p/kWh,dno_data_enhanced/SWAE-Schedule of charges and other tables-2020 v2.xlsx
